id;placed_date;status;code
1;2021-10-03T19:35:46;COMPLETED;Electronics
2;2021-10-03T13:57:45;COMPLETED;payment PCI violet
3;2021-10-04T00:26:38;CANCELLED;background out-of-the-box withdrawal
4;2021-10-03T04:29:39;COMPLETED;Music real-time
5;2021-10-03T12:33:48;CANCELLED;Hat
6;2021-10-04T01:18:36;PENDING;solid navigating
7;2021-10-03T11:14:22;PENDING;Toys maroon
8;2021-10-04T00:03:56;COMPLETED;Developer
9;2021-10-03T07:32:20;COMPLETED;Credit Soft Cotton
10;2021-10-03T22:14:56;CANCELLED;contingency Bedfordshire
